"","A","K","Q","J","T","9","8","7","6","5","4","3","2"
"A",86.2,68,67.6,67.3,67,65.9,64.8,64.2,63.8,63.4,63.1,63,63.1
"K",66.7,80.8,63.5,63.1,62.7,61.3,59.9,59.8,59.3,58.6,58.1,58,58
"Q",66.1,61.7,76.3,59.5,59,57.4,56.3,55.1,54.9,54.1,53.7,53.5,53.5
"J",65.7,61.2,57.4,72.2,56.4,54.4,53.2,51.6,50.7,50.1,49.9,49.6,49.4
"T",65,60.9,56.8,54.2,68.9,52.5,50.4,49.7,47.8,46.5,46.3,45.7,46
"9",63.7,59,55.5,52.5,49.5,65.8,48.9,46.9,46,44.3,42.8,42.9,42.4
"8",63.2,57.5,54,50.8,48.2,45.8,63.2,45.1,43.8,42.4,41.1,40.1,40
"7",62.3,57.3,52.4,49.3,46.7,43.9,42.3,60.7,42.5,41.1,40,38.8,38
"6",62,56.5,51.9,47.7,45,42.8,40.7,39.2,58.7,40,38.7,37.7,36.7
"5",61.4,55.9,51.3,47.4,43.5,41.3,39.1,37.6,36.7,56.6,37.8,36.4,35.6
"4",61,55.5,50.9,47,43.1,39.6,38,36.5,35.3,34,54.6,35.9,34.8
"3",60.5,55.5,50.9,46.7,42.8,39.6,36.8,35.1,34,32.9,31.9,52.6,34.4
"2",60.7,55.4,50.7,46.7,42.6,39.4,36.6,34.5,33,31.8,30.9,30.5,50.8
